R,G,B,Etiqueta
91,108,58,platano
90,108,58,platano
90,108,59,platano
90,108,61,platano
91,108,60,platano
89,107,60,platano
88,107,59,platano
88,106,60,platano
86,107,60,platano
86,107,63,platano
87,105,62,platano
86,104,63,platano
86,105,64,platano
85,107,64,platano
86,107,63,platano
87,106,63,platano
88,107,61,platano
90,106,60,platano
90,108,61,platano
91,107,59,platano
90,106,57,platano
90,107,59,platano
91,108,60,platano
89,108,60,platano
89,110,65,platano
86,108,63,platano
89,108,62,platano
89,109,58,platano
90,108,61,platano
87,108,62,platano
88,107,62,platano
92,110,60,platano
89,107,58,platano
90,108,60,platano
90,107,60,platano
90,106,58,platano
89,106,59,platano
88,107,60,platano
86,107,61,platano
86,107,65,platano
87,106,66,platano
86,107,66,platano
87,105,65,platano
86,106,64,platano
90,107,62,platano
88,107,59,platano
91,110,62,platano
90,110,61,platano
93,111,62,platano
92,111,63,platano
93,110,64,platano
94,111,65,platano
93,111,63,platano
91,110,62,platano
94,112,65,platano
92,111,67,platano
92,111,66,platano
92,110,65,platano
92,110,65,platano
99,111,79,platano
96,111,68,platano
94,110,66,platano
98,112,69,platano
104,112,69,platano
99,110,65,platano
101,111,66,platano
97,111,68,platano
98,109,65,platano
97,111,65,platano
96,111,64,platano
95,107,66,platano
96,111,66,platano
97,111,65,platano
97,111,68,platano
97,111,65,platano
102,114,76,platano
97,110,73,platano
99,109,70,platano
98,113,74,platano
100,112,69,platano
96,107,66,platano
94,104,62,platano
93,106,62,platano
93,107,61,platano
93,103,58,platano
91,105,61,platano
90,104,59,platano
91,105,65,platano
92,107,66,platano
91,108,64,platano
90,106,61,platano
90,106,61,platano
91,107,62,platano
90,108,61,platano
92,108,61,platano
93,109,65,platano
90,109,61,platano
89,108,60,platano
91,108,61,platano
98,112,69,platano
96,111,68,platano
94,108,63,platano
90,107,58,platano
92,109,58,platano
93,109,59,platano
94,110,62,platano
92,111,61,platano
93,111,59,platano
92,109,58,platano
92,108,57,platano
95,109,59,platano
96,110,60,platano
94,108,59,platano
94,108,59,platano
94,110,60,platano
102,115,74,platano
94,112,66,platano
93,110,61,platano
90,109,59,platano
92,108,61,platano
96,112,69,platano
90,108,60,platano
92,110,59,platano
90,109,59,platano
89,109,58,platano
92,109,64,platano
93,108,65,platano
98,111,69,platano
96,108,65,platano
96,107,62,platano
94,104,62,platano
93,105,63,platano
93,108,63,platano
93,110,69,platano
95,111,73,platano
96,109,69,platano
98,112,72,platano
93,108,68,platano
90,108,63,platano
90,106,60,platano
90,105,62,platano
90,105,63,platano
90,105,66,platano
93,106,68,platano
92,110,64,platano
89,105,62,platano
95,109,67,platano
95,109,67,platano
96,107,64,platano
96,107,66,platano
93,108,62,platano
94,109,63,platano
92,108,59,platano
94,109,63,platano
95,108,64,platano
94,108,62,platano
92,109,62,platano
94,109,61,platano
91,108,64,platano
89,105,63,platano
89,106,61,platano
87,106,61,platano
88,108,60,platano
88,106,60,platano
88,107,59,platano
88,107,58,platano
89,106,59,platano
89,107,58,platano
90,106,61,platano
91,103,62,platano
88,103,62,platano
90,104,62,platano
90,104,62,platano
92,104,61,platano
93,105,62,platano
90,103,61,platano
90,104,62,platano
89,106,60,platano
88,107,59,platano
89,107,60,platano
87,107,59,platano
89,106,61,platano
87,107,62,platano
88,107,62,platano
87,105,61,platano
88,104,61,platano
91,108,60,platano
91,107,59,platano
89,106,58,platano
91,106,59,platano
91,102,61,platano
92,108,56,platano
92,107,58,platano
91,107,56,platano
91,106,59,platano
89,107,57,platano
91,104,58,platano
89,106,61,platano
88,108,58,platano
88,104,59,platano
88,107,58,platano
88,107,59,platano
86,104,59,platano
90,106,60,platano
90,104,62,platano
92,100,61,platano
91,105,60,platano
89,105,60,platano
86,107,61,platano
86,107,61,platano
85,106,60,platano
87,107,60,platano
88,106,60,platano
89,103,65,platano
88,102,63,platano
87,106,60,platano
92,107,58,platano
92,104,61,platano
92,102,60,platano
90,104,60,platano
